# Wavelength (nm)	Intensity
364.44446	0.0
364.61539	0.0
364.78632	0.0
364.95728	0.0
365.12820	0.0
365.29913	0.0
365.47009	0.0
365.64102	0.0
365.81195	0.0
365.98291	0.0
366.15384	0.0
366.32480	0.0
366.49573	0.0
366.66666	0.0
366.83762	0.0
367.00854	0.0
367.17947	0.0
367.35043	0.0
367.52136	0.0
367.69232	0.0
367.86325	0.0
368.03418	0.0
368.20514	0.0
368.37607	0.0
368.54700	0.0
368.71796	0.0
368.88889	0.0
369.05981	0.0
369.23077	0.0
369.40170	0.0
369.57266	0.0
369.74359	0.0
369.91452	0.0
370.08548	0.0
370.25641	0.0
370.42734	0.0
370.59830	0.0
370.76923	0.0
370.94019	0.0
371.11111	0.0
371.28204	0.0
371.45300	0.0
371.62393	0.0
371.79486	0.0
371.96582	0.0
372.13675	0.0
372.30768	0.0
372.47864	0.0
372.64957	0.0
372.82053	0.0
372.99146	0.0
373.16238	0.0
373.33334	0.0
373.50427	0.0
373.67520	0.0
373.84616	0.0
374.01709	0.0
374.18805	0.0
374.35898	0.0
374.52991	0.0
374.70087	0.0
374.87180	0.0
375.04272	0.0
375.21368	0.0
375.38461	0.0
375.55554	0.0
375.72650	0.0
375.89743	0.0
376.06839	0.0
376.23932	0.0
376.41025	0.0
376.58121	0.0
376.75214	0.0
376.92307	0.0
377.09402	0.0
377.26495	0.0
377.43588	0.0
377.60684	0.0
377.77777	0.0
377.94873	0.0
378.11966	0.0
378.29059	0.0
378.46155	0.0
378.63248	0.0
378.80341	0.0
378.97437	0.0
379.14529	0.0
379.31625	0.0
379.48718	0.0
379.65811	0.0
379.82907	0.0
380.00000	0.0
380.17093	0.0
380.34189	0.0
380.51282	0.0
380.68375	0.0
380.85471	0.0
381.02563	0.0
381.19659	0.0
381.36752	0.0
381.53845	0.0
381.70941	0.0
381.88034	0.0
382.05127	0.0
382.22223	0.0
382.39316	0.0
382.56412	0.0
382.73505	0.0
382.90598	0.0
383.07693	0.0
383.24786	0.0
383.41879	0.0
383.58975	0.0
383.76068	0.0
383.93161	0.0
384.10257	0.0
384.27350	0.0
384.44446	0.0
384.61539	0.0
384.78632	0.0
384.95728	0.0
385.12820	0.0
385.29913	0.0
385.47009	0.0
385.64102	0.0
385.81195	0.0
385.98291	0.0
386.15384	0.0
386.32480	0.0
386.49573	0.0
386.66666	0.0
386.83762	0.0
387.00854	0.0
387.17947	0.0
387.35043	0.0
387.52136	0.0
387.69232	0.0
387.86325	0.0
388.03418	0.0
388.20514	0.1
388.37607	0.1
388.54700	0.1
388.71796	0.0
388.88889	0.0
389.05981	0.0
389.23077	0.0
389.40170	0.0
389.57266	0.0
389.74359	0.0
389.91452	0.0
390.08548	0.0
390.25641	0.0
390.42734	0.0
390.59830	0.0
390.76923	0.0
390.94019	0.0
391.11111	0.0
391.28204	0.0
391.45300	0.0
391.62393	0.0
391.79486	0.0
391.96582	0.0
392.13675	0.0
392.30768	0.0
392.47864	0.0
392.64957	0.0
392.82053	0.0
392.99146	0.0
393.16238	0.0
393.33334	0.2
393.50427	0.1
393.67520	0.0
393.84616	0.0
394.01709	0.0
394.18805	0.0
